22.3863 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ee01b70>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12ec0ba90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.3865 	EXP 	window1: recordFrameIntervals = False
22.5506 	EXP 	window1: recordFrameIntervals = True
22.7331 	EXP 	window1: recordFrameIntervals = False
23.9256 	EXP 	Created InstruText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='InstruText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
23.9581 	EXP 	Created Target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Target', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.1256 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
24.1682 	EXP 	InstruText: autoDraw = True
31.8636 	DATA 	Keypress: right
32.1332 	EXP 	Imported conditions.xlsx as conditions, 10 conditions, 4 params
32.1487 	EXP 	Created sequence: random, trialTypes=10, nReps=5, seed=None
32.1495 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
32.1678 	EXP 	InstruText: autoDraw = False
32.1678 	EXP 	Target: color = 'green (named)'
32.1678 	EXP 	Target: text = 'blue'
32.6510 	EXP 	Target: autoDraw = True
33.7872 	DATA 	Keypress: left
33.8016 	EXP 	Target: autoDraw = False
33.8016 	EXP 	image: image = 'incorrect.jpeg'
33.8016 	EXP 	image: autoDraw = True
34.6349 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
34.6514 	EXP 	image: autoDraw = False
34.6514 	EXP 	Target: color = 'yellow (named)'
34.6514 	EXP 	Target: text = 'green'
35.1338 	EXP 	Target: autoDraw = True
35.7049 	DATA 	Keypress: down
35.8369 	EXP 	Target: autoDraw = False
35.8369 	EXP 	image: image = 'incorrect.jpeg'
35.8369 	EXP 	image: autoDraw = True
36.7358 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
36.7681 	EXP 	image: autoDraw = False
36.7681 	EXP 	Target: color = 'yellow (named)'
36.7681 	EXP 	Target: text = 'yellow'
37.2506 	EXP 	Target: autoDraw = True
37.7645 	DATA 	Keypress: right
37.7848 	EXP 	Target: autoDraw = False
37.7848 	EXP 	image: image = 'incorrect.jpeg'
37.7848 	EXP 	image: autoDraw = True
38.7354 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
38.7514 	EXP 	image: autoDraw = False
38.7514 	EXP 	Target: color = 'yellow (named)'
38.7514 	EXP 	Target: text = 'red'
39.2350 	EXP 	Target: autoDraw = True
39.6858 	DATA 	Keypress: up
39.7009 	EXP 	Target: autoDraw = False
39.7009 	EXP 	image: image = 'correct.jpeg'
39.7009 	EXP 	image: autoDraw = True
40.6867 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
40.7189 	EXP 	image: autoDraw = False
40.7189 	EXP 	Target: color = 'yellow (named)'
40.7189 	EXP 	Target: text = 'blue'
41.2022 	EXP 	Target: autoDraw = True
41.6255 	DATA 	Keypress: down
41.6357 	EXP 	Target: autoDraw = False
41.6357 	EXP 	image: image = 'incorrect.jpeg'
41.6357 	EXP 	image: autoDraw = True
42.6046 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
42.6348 	EXP 	image: autoDraw = False
42.6348 	EXP 	Target: color = 'green (named)'
42.6348 	EXP 	Target: text = 'red'
43.1190 	EXP 	Target: autoDraw = True
43.5758 	DATA 	Keypress: left
43.5842 	EXP 	Target: autoDraw = False
43.5842 	EXP 	image: image = 'incorrect.jpeg'
43.5842 	EXP 	image: autoDraw = True
44.5537 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
44.5687 	EXP 	image: autoDraw = False
44.5687 	EXP 	Target: color = 'green (named)'
44.5687 	EXP 	Target: text = 'green'
45.0526 	EXP 	Target: autoDraw = True
45.4422 	DATA 	Keypress: left
45.4510 	EXP 	Target: autoDraw = False
45.4510 	EXP 	image: image = 'incorrect.jpeg'
45.4510 	EXP 	image: autoDraw = True
46.4206 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
