word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruText.started,InstruText.stopped,Target.started,Target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
blue,yellow,0,up,0,0,0,6,26.11195603199303,None,28.778234209981747,None,left,0,0.7904984399210662,28.778234209981747,None,29.86119043000508,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,green,1,down,0,1,1,7,,,31.11076219798997,None,down,1,0.5918767449911684,31.11076219798997,None,31.7458685770398,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,green,0,down,0,2,2,5,,,33.228436317062005,None,right,0,0.3260725730797276,33.228436317062005,None,33.64479514607228,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,yellow,0,up,0,3,3,8,,,35.06193886208348,None,down,0,0.44957701303064823,35.06193886208348,None,35.5811754349852,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,yellow,0,up,0,4,4,3,,,37.028952287044376,None,left,0,0.3533350550569594,37.028952287044376,None,37.46134143602103,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,red,1,left,0,5,5,0,,,38.929358756984584,None,down,0,0.3787290349137038,38.929358756984584,None,39.361345911049284,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,blue,0,right,0,6,6,1,,,40.82964441005606,None,right,1,0.39764898002613336,40.82964441005606,None,41.2460415820824,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,green,0,down,0,7,7,2,,,42.74484031298198,None,down,1,1.6350569450296462,42.74484031298198,None,44.44566376507282,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
yellow,yellow,1,up,0,8,8,9,,,46.49662077007815,None,left,0,0.349410374998115,46.49662077007815,None,46.9126197519945,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,blue,1,right,0,9,9,4,,,48.36238040600438,None,down,0,0.38245886703953147,48.36238040600438,None,48.81349611701444,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,yellow,0,up,1,0,10,3,,,50.279673199984245,None,right,0,0.40596550493501127,50.279673199984245,None,50.762815627036616,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
yellow,yellow,1,up,1,1,11,9,,,52.22909327503294,None,down,0,0.4554194660158828,52.22909327503294,None,52.74667144299019,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,yellow,0,up,1,2,12,8,,,54.21284638205543,None,left,0,0.44640310702379793,54.21284638205543,None,54.729419090086594,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,blue,1,right,1,3,13,4,,,56.17998835502658,None,down,0,0.4051900929771364,56.17998835502658,None,56.64667556702625,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,yellow,0,up,1,4,14,6,,,58.11363344208803,None,right,0,0.4205322570633143,58.11363344208803,None,58.61409689707216,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,blue,0,right,1,5,15,1,,,60.06448143708985,None,down,0,0.35860629798844457,60.06448143708985,None,60.47973485197872,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,green,0,down,1,6,16,5,,,61.94775798008777,None,down,1,0.4691967060789466,61.94775798008777,None,62.46408313000575,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,green,1,down,1,7,17,7,,,63.96412085206248,None,down,1,0.48322242009453475,63.96412085206248,None,64.47966544597875,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,green,0,down,1,8,18,2,,,65.96386757702567,None,down,1,0.5119238150073215,65.96386757702567,None,66.49768625001889,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,red,1,left,1,9,19,0,,,67.98123993701302,None,down,0,0.5213302980409935,67.98123993701302,None,68.58079440507572,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,green,0,down,2,0,20,2,,,70.03161861503031,None,right,0,0.9918115299660712,70.03161861503031,None,71.08088154706638,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,green,0,down,2,1,21,5,,,72.56371667608619,None,down,1,0.3285192910116166,72.56371667608619,None,72.93166759202722,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,green,1,down,2,2,22,7,,,74.43132653005887,None,left,0,0.3258104999549687,74.43132653005887,None,74.81721249001566,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,red,1,left,2,3,23,0,,,76.2645581800025,None,down,0,0.29346591304056346,76.2645581800025,None,76.63196468201932,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,blue,1,right,2,4,24,4,,,78.08202330500353,None,right,1,0.4030557000078261,78.08202330500353,None,78.53156239003874,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
yellow,yellow,1,up,2,5,25,9,,,80.03213901701383,None,down,0,0.3478592300089076,80.03213901701383,None,80.49870936502703,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,yellow,0,up,2,6,26,6,,,81.8990932169836,None,left,0,0.35377244697883725,81.8990932169836,None,82.31684367498383,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,yellow,0,up,2,7,27,8,,,83.79720922606066,None,down,0,0.3156719480175525,83.79720922606066,None,84.1816562920576,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,blue,0,right,2,8,28,1,,,85.63144084205851,None,right,1,0.3173203979386017,85.63144084205851,None,85.96525948808994,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,yellow,0,up,2,9,29,3,,,87.44956803508103,None,down,0,0.35700565995648503,87.44956803508103,None,87.88286732498091,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,blue,1,right,3,0,30,4,,,89.33288267499302,None,down,0,0.3174378619296476,89.33288267499302,None,89.71701142203528,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,red,1,left,3,1,31,0,,,91.18305732205044,None,down,0,0.3063033130019903,91.18305732205044,None,91.56598010007292,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
yellow,yellow,1,up,3,2,32,9,,,93.03315018198919,None,down,0,0.2740103299729526,93.03315018198919,None,93.382741062087,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,yellow,0,up,3,3,33,8,,,94.84979250200558,None,down,0,2.117108804988675,94.84979250200558,None,97.04950415506028,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,green,0,down,3,4,34,5,,,98.51690388005227,None,down,1,0.3679000629344955,98.51690388005227,None,98.93339181505144,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,green,1,down,3,5,35,7,,,100.41677729203366,None,down,1,0.46289826300926507,100.41677729203366,None,100.90022802702151,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,yellow,0,up,3,6,36,6,,,102.38295309001114,None,left,0,0.7056902220938355,102.38295309001114,None,103.16572472103871,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,green,0,down,3,7,37,2,,,104.61561585508753,None,down,1,0.5089657100616023,104.61561585508753,None,105.14959555002861,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,blue,0,right,3,8,38,1,,,106.63321078999434,None,right,1,0.3813190748915076,106.63321078999434,None,107.03312006301712,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,yellow,0,up,3,9,39,3,,,108.5172540450003,None,left,0,0.6959696349222213,108.5172540450003,None,109.28398873202968,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,green,1,down,4,0,40,7,,,110.73455429007299,None,down,1,0.5730273450026289,110.73455429007299,None,111.35089524497744,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,blue,0,right,4,1,41,1,,,112.83442619198468,None,right,1,0.8715568899642676,112.83442619198468,None,113.75122358708177,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,green,0,down,4,2,42,2,,,115.23451374704018,None,down,1,0.87447906692978,115.23451374704018,None,116.13430907507427,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
yellow,yellow,1,up,4,3,43,9,,,117.63366123498417,None,up,1,0.8760783149627969,117.63366123498417,None,118.53462566505186,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,red,1,left,4,4,44,0,,,120.0166467060335,None,left,1,0.5711163560627028,120.0166467060335,None,120.61649991606828,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
green,yellow,0,up,4,5,45,8,,,122.10168723005336,None,up,1,0.5298854119610041,122.10168723005336,None,122.65162269200664,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,yellow,0,up,4,6,46,6,,,124.13529672997538,None,up,1,0.4451792420586571,124.13529672997538,None,124.60292441002093,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,green,0,down,4,7,47,5,,,126.1014156070305,None,down,1,0.6838025889592245,126.1014156070305,None,126.81714651803486,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
red,yellow,0,up,4,8,48,3,,,128.30219512502663,None,up,1,0.5219288099324331,128.30219512502663,None,128.85110059997533,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
blue,blue,1,right,4,9,49,4,,,130.33525044703856,None,right,1,0.58674856799189,130.33525044703856,None,130.95113858499099,None,nnnnn,001,2020_Jan_15_1830,stroopExperiment,3.2.4,60.35389143987705,
