24.1446 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x130335b70>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x130147a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
24.1449 	EXP 	window1: recordFrameIntervals = False
24.3108 	EXP 	window1: recordFrameIntervals = True
24.5019 	EXP 	window1: recordFrameIntervals = False
25.9423 	EXP 	Created InstruText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='InstruText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
25.9701 	EXP 	Created Target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Target', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
26.0683 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
26.1120 	EXP 	InstruText: autoDraw = True
28.2534 	EXP 	Imported conditions.xlsx as conditions, 10 conditions, 4 params
28.2724 	EXP 	Created sequence: random, trialTypes=10, nReps=5, seed=None
28.2734 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
28.3180 	DATA 	Keypress: space
28.3280 	EXP 	InstruText: autoDraw = False
28.3280 	EXP 	Target: color = 'yellow (named)'
28.3280 	EXP 	Target: text = 'blue'
28.7782 	EXP 	Target: autoDraw = True
29.8359 	DATA 	Keypress: left
29.8612 	EXP 	Target: autoDraw = False
29.8612 	EXP 	image: image = 'incorrect.jpeg'
29.8612 	EXP 	image: autoDraw = True
30.5952 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
30.6109 	EXP 	image: autoDraw = False
30.6109 	EXP 	Target: color = 'green (named)'
30.6109 	EXP 	Target: text = 'green'
31.1108 	EXP 	Target: autoDraw = True
31.7254 	DATA 	Keypress: down
31.7459 	EXP 	Target: autoDraw = False
31.7459 	EXP 	image: image = 'correct.jpeg'
31.7459 	EXP 	image: autoDraw = True
32.7133 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
32.7272 	EXP 	image: autoDraw = False
32.7272 	EXP 	Target: color = 'green (named)'
32.7272 	EXP 	Target: text = 'blue'
33.2284 	EXP 	Target: autoDraw = True
33.6178 	DATA 	Keypress: right
33.6448 	EXP 	Target: autoDraw = False
33.6448 	EXP 	image: image = 'incorrect.jpeg'
33.6448 	EXP 	image: autoDraw = True
34.5633 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
34.5776 	EXP 	image: autoDraw = False
34.5776 	EXP 	Target: color = 'yellow (named)'
34.5776 	EXP 	Target: text = 'green'
35.0619 	EXP 	Target: autoDraw = True
35.5646 	DATA 	Keypress: down
35.5812 	EXP 	Target: autoDraw = False
35.5812 	EXP 	image: image = 'incorrect.jpeg'
35.5812 	EXP 	image: autoDraw = True
36.5293 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
36.5448 	EXP 	image: autoDraw = False
36.5448 	EXP 	Target: color = 'yellow (named)'
36.5448 	EXP 	Target: text = 'red'
37.0290 	EXP 	Target: autoDraw = True
37.4482 	DATA 	Keypress: left
37.4613 	EXP 	Target: autoDraw = False
37.4613 	EXP 	image: image = 'incorrect.jpeg'
37.4613 	EXP 	image: autoDraw = True
38.4220 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
38.4288 	EXP 	image: autoDraw = False
38.4288 	EXP 	Target: color = 'red (named)'
38.4288 	EXP 	Target: text = 'red'
38.9294 	EXP 	Target: autoDraw = True
39.3511 	DATA 	Keypress: down
39.3613 	EXP 	Target: autoDraw = False
39.3613 	EXP 	image: image = 'incorrect.jpeg'
39.3613 	EXP 	image: autoDraw = True
40.3305 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
40.3453 	EXP 	image: autoDraw = False
40.3453 	EXP 	Target: color = 'blue (named)'
40.3453 	EXP 	Target: text = 'red'
40.8296 	EXP 	Target: autoDraw = True
41.2370 	DATA 	Keypress: right
41.2460 	EXP 	Target: autoDraw = False
41.2460 	EXP 	image: image = 'correct.jpeg'
41.2460 	EXP 	image: autoDraw = True
42.2463 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
42.2615 	EXP 	image: autoDraw = False
42.2615 	EXP 	Target: color = 'green (named)'
42.2615 	EXP 	Target: text = 'red'
42.7448 	EXP 	Target: autoDraw = True
44.4245 	DATA 	Keypress: down
44.4457 	EXP 	Target: autoDraw = False
44.4457 	EXP 	image: image = 'correct.jpeg'
44.4457 	EXP 	image: autoDraw = True
45.4130 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
45.9953 	EXP 	image: autoDraw = False
45.9953 	EXP 	Target: color = 'yellow (named)'
45.9953 	EXP 	Target: text = 'yellow'
46.4966 	EXP 	Target: autoDraw = True
46.8999 	DATA 	Keypress: left
46.9126 	EXP 	Target: autoDraw = False
46.9126 	EXP 	image: image = 'incorrect.jpeg'
46.9126 	EXP 	image: autoDraw = True
